day,unique_addresses,total_transactions,total_value_transferred,average_fee,total_size_used,coinbase_transactions
2023-01-01 00:00:00.000 UTC,974331,4845769,310372565.31418604,0.0005217445796983236,157820698698,424
2023-01-02 00:00:00.000 UTC,1149776,7138414,557316439.8710327,0.0006237246337043498,274310614963,426
2023-01-03 00:00:00.000 UTC,1327304,7923651,462806519.3803008,0.0006566626955023527,290736899401,433
2023-01-04 00:00:00.000 UTC,1269842,6830936,321050784.5246773,0.0007659400469745295,230428423673,384
2023-01-05 00:00:00.000 UTC,1303305,8085786,582399720.7411479,0.0006132740085577301,275686446565,434
2023-01-06 00:00:00.000 UTC,1314906,6802181,393743139.189758,0.000704920973856795,242176532005,499
2023-01-07 00:00:00.000 UTC,1121372,5428073,305261058.393008,0.0005190354358277828,166426846026,423
2023-01-08 00:00:00.000 UTC,1056854,5692645,222589166.26347798,0.0005245526903714983,204622692926,433
2023-01-09 00:00:00.000 UTC,1317034,5847215,374226316.03240615,0.0005882799357488763,178675123956,424
2023-01-10 00:00:00.000 UTC,1539063,8440481,375632416.94187975,0.0005963323277299084,337963782879,457
2023-01-11 00:00:00.000 UTC,1274205,6726228,250059124.5313551,0.000552320146994732,212850973916,405
2023-01-12 00:00:00.000 UTC,1432618,6340129,203353712.25213227,0.0008584468962823765,214393820204,406
2023-01-13 00:00:00.000 UTC,1484667,8116891,322036794.16930914,0.0006889205145073869,298924970169,421
2023-01-14 00:00:00.000 UTC,1380614,7520173,379233322.63546956,0.0006970428553917389,263255385584,454
2023-01-15 00:00:00.000 UTC,1109287,6350401,340288951.58967716,0.00047890603387251875,212616409909,440
2023-01-16 00:00:00.000 UTC,1334148,5223368,255278936.65544438,0.00047840231986145905,153848931274,398
2023-01-17 00:00:00.000 UTC,1371134,6443130,360909421.65629196,0.0006478619149419506,204281082189,430
2023-01-18 00:00:00.000 UTC,1323346,7251119,392943685.8971977,0.0009749916646354843,247195177514,369
2023-01-19 00:00:00.000 UTC,1303838,7676032,388658050.43608516,0.0007587071443552752,270063045426,395
2023-01-20 00:00:00.000 UTC,1279677,6845536,332026006.60298884,0.0011991710390478658,232687346963,365
2023-01-21 00:00:00.000 UTC,1246935,6532422,348508425.3080728,0.0008549551261308997,232133579993,369
2023-01-22 00:00:00.000 UTC,1184914,9216566,412381328.9631493,0.001267990738747916,392317658851,416
2023-01-23 00:00:00.000 UTC,1288010,6607035,194592947.50926796,0.0007397922059592491,229600757290,424
2023-01-24 00:00:00.000 UTC,1272723,5775037,277023388.8951711,0.0011416755333844035,175852223564,347
2023-01-25 00:00:00.000 UTC,1306166,6737827,359569362.5376808,0.0009772690383012287,220305077808,495
2023-01-26 00:00:00.000 UTC,1269281,6182553,291918981.6997202,0.0006001967411391542,198416866134,408
2023-01-27 00:00:00.000 UTC,1303145,6246390,299229718.627657,0.0008093094060409582,190527180345,410
2023-01-28 00:00:00.000 UTC,1200174,6488603,443887012.86873084,0.000636104705453545,227185452472,449
2023-01-29 00:00:00.000 UTC,1153181,5797596,423955097.68787867,0.0008763731832435082,192439259180,436
2023-01-30 00:00:00.000 UTC,1303571,6106074,234881087.71550974,0.000656578033287853,192565606383,374
2023-01-31 00:00:00.000 UTC,1305190,4185198,105364116.55288759,0.0008301115345032699,110672516699,319
2023-02-01 00:00:00.000 UTC,1459869,7381356,239959088.4575724,0.0011215319580698158,257496729313,360
2023-02-02 00:00:00.000 UTC,1414207,6358011,245008705.4859178,0.0009258139056317682,207784931053,387
2023-02-03 00:00:00.000 UTC,1363224,6220803,275230055.5202807,0.001420793543349659,205506597160,369
2023-02-04 00:00:00.000 UTC,1332196,7345826,187372892.0487428,0.0006235220780318341,250206367747,377
2023-02-05 00:00:00.000 UTC,1104657,5323371,201026766.27870885,0.001205374590429579,203394606929,411
2023-02-06 00:00:00.000 UTC,1243741,5999423,157380985.80018535,0.0009245204294262829,248497085964,391
2023-02-07 00:00:00.000 UTC,1251919,6088773,175289121.78179255,0.0007608372190685741,196493215622,376
2023-02-08 00:00:00.000 UTC,1265659,5126905,92912456.31497796,0.0008708061259590274,142835938456,382
2023-02-09 00:00:00.000 UTC,1451973,5703997,116346273.51164648,0.0012311579360367519,188391816601,435
2023-02-10 00:00:00.000 UTC,1221081,3901132,60947690.389517255,0.0016192229789561544,81111228341,412
2023-02-11 00:00:00.000 UTC,1163970,5856080,126355287.09973545,0.0008080017630052328,187271394007,393
2023-02-12 00:00:00.000 UTC,1163165,6512280,118559944.62273766,0.0007124774442192201,228992092501,432
2023-02-13 00:00:00.000 UTC,1281858,3894421,67274152.79600528,0.001030465575593896,95504040302,417
2023-02-14 00:00:00.000 UTC,1218290,4004723,86529624.89030427,0.0010612965107649319,98936139924,409
2023-02-15 00:00:00.000 UTC,1350133,5579391,86477648.44007444,0.0011279663797877592,152687448290,440
2023-02-16 00:00:00.000 UTC,1510819,7177232,166559221.35329983,0.0016346086467206868,247121007811,486
2023-02-17 00:00:00.000 UTC,1428137,8088241,135522454.08090535,0.0015446437471497627,294734425237,449
2023-02-18 00:00:00.000 UTC,1392056,7288600,141138370.87315065,0.0007223748382789136,293219625490,464
2023-02-19 00:00:00.000 UTC,1208696,7050083,175641465.39706767,0.0013910628985842766,309327296584,421
2023-02-20 00:00:00.000 UTC,1220547,4893477,91438721.9499317,0.0007739373213259335,144282087268,408
2023-02-21 00:00:00.000 UTC,1369895,6459604,174516825.34366956,0.0008993780064629483,284229146211,479
2023-02-22 00:00:00.000 UTC,1259977,6478948,153379220.69614685,0.0006788081927714212,209427980814,375
2023-02-23 00:00:00.000 UTC,1462661,8079589,255981497.2313246,0.0006940731781641309,335256303079,458
2023-02-24 00:00:00.000 UTC,1307320,5657651,166293820.01496786,0.0009043858296826304,179649733707,373
2023-02-25 00:00:00.000 UTC,1104082,5310125,215081848.45964128,0.0006406178990664207,162557203300,288
2023-02-26 00:00:00.000 UTC,1241049,7802952,375985488.09669507,0.0008671556122259925,288527592045,468
2023-02-27 00:00:00.000 UTC,1280055,3813277,106248279.25654303,0.0015928264779480096,109671806984,375
2023-02-28 00:00:00.000 UTC,1327857,7938974,312940529.2059899,0.0010762047748135788,286803998437,377
2023-03-01 00:00:00.000 UTC,1502614,10894316,533606614.2555633,0.0008500034749543222,416773901842,494
2023-03-02 00:00:00.000 UTC,1286250,5944148,379964338.9272724,0.0008521632503750075,201379707782,399
2023-03-03 00:00:00.000 UTC,1489272,9592154,653087030.4459821,0.0008410451086503264,357563039027,451
2023-03-04 00:00:00.000 UTC,1241741,7638392,451231489.639998,0.0006829529814312072,283728659823,419
2023-03-05 00:00:00.000 UTC,1317647,8495538,426610353.64798486,0.0013966363753232889,444891571696,434
2023-03-06 00:00:00.000 UTC,1243715,4333409,211785977.94825655,0.0010451899052385761,123850642072,361
2023-03-07 00:00:00.000 UTC,1471983,9688469,576338664.4786344,0.0010647249357241158,386909480982,452
2023-03-08 00:00:00.000 UTC,1213838,6120102,305368186.28500134,0.0011481060613647114,214153364777,361
2023-03-09 00:00:00.000 UTC,1254184,2592667,24687816.421813425,0.0027150242147334553,38174351305,370
2023-03-10 00:00:00.000 UTC,1344404,7908933,339040298.08256483,0.0017659869190433661,276114322308,366
2023-03-11 00:00:00.000 UTC,1324975,7774498,483898393.9260389,0.001197314066490182,263955737924,448
2023-03-12 00:00:00.000 UTC,1208560,5960693,373229303.87609,0.0011628782959716643,219822767471,442
2023-03-13 00:00:00.000 UTC,1352563,6396982,348601703.87121654,0.0013505687046829328,214297483416,435
2023-03-14 00:00:00.000 UTC,1375842,5970904,202014852.7882163,0.005120881160870915,173183218677,399
2023-03-15 00:00:00.000 UTC,1374172,7297567,260217654.63980344,0.0014517471174050314,248699028967,421
2023-03-16 00:00:00.000 UTC,1209872,3093789,72509342.87907474,0.002460246103687172,68356046858,365
2023-03-17 00:00:00.000 UTC,1438416,6055300,140764428.1710076,0.001848654467651584,172980347385,405
2023-03-18 00:00:00.000 UTC,1304337,8337451,406781902.38001895,0.0016942565993193148,313762130020,452
2023-03-19 00:00:00.000 UTC,1137670,7615712,281845507.23775154,0.0026799296007383624,376189475274,418
2023-03-20 00:00:00.000 UTC,1385725,6762621,314646848.41891664,0.001474338657687646,228920716283,417
2023-03-21 00:00:00.000 UTC,1337058,6969615,293392693.9638926,0.0016315356858979853,243186914049,394
2023-03-22 00:00:00.000 UTC,1259042,6032423,155272295.10870975,0.005251883374867825,204598213910,432
2023-03-23 00:00:00.000 UTC,1224469,3289993,47726050.53271853,0.002782560323499219,73033145995,504
2023-03-24 00:00:00.000 UTC,1186650,2439513,24949548.329965666,0.0017321632425324903,30798242890,445
2023-03-25 00:00:00.000 UTC,1226730,7749496,176479456.45745915,0.0026188317178356246,257353390843,429
2023-03-26 00:00:00.000 UTC,1112737,8418831,427497428.270851,0.0020141088402725496,312565288594,398
