day,unique_addresses,total_transactions,total_value_transferred,average_gas_price,total_gas_used,successful_transactions
1/1/23 0:00,360672,742785,5.17362E+23,18036457836,1.09417E+11,719918
2/1/23 0:00,434656,920276,6.63603E+23,20591319328,1.08875E+11,877860
3/1/23 0:00,449852,948116,7.09987E+23,22267876443,1.08801E+11,910349
4/1/23 0:00,523673,1046389,1.79734E+24,29513905520,1.08693E+11,1011943
5/1/23 0:00,637028,1142818,1.08438E+24,25709158256,1.0834E+11,1105932
6/1/23 0:00,509869,1028132,1.01432E+24,24515619991,1.08507E+11,991717
7/1/23 0:00,509897,957607,4.88721E+23,18714982021,1.08848E+11,928208
8/1/23 0:00,737589,1184114,7.45297E+23,22169765554,1.08935E+11,1153052
9/1/23 0:00,566110,1093675,1.39568E+24,26543481375,1.08487E+11,1060699
10/1/23 0:00,534628,1061055,1.14438E+24,24832851982,1.08547E+11,1026867
11/1/23 0:00,548119,1083178,1.07803E+24,25466337456,1.08342E+11,1046182
12/1/23 0:00,554465,1085563,1.82543E+24,25397758826,1.08298E+11,1054356
13/1/23 0:00,537241,1076328,1.77522E+24,29480606306,1.08415E+11,1039505
14/1/23 0:00,573230,1107804,2.24242E+24,27988987982,1.08512E+11,1076344
15/1/23 0:00,508102,1000777,6.6248E+23,23739712895,1.08297E+11,965788
16/1/23 0:00,550027,1057284,1.41981E+24,27887418109,1.08393E+11,1018051
17/1/23 0:00,532383,1018353,1.46394E+24,26891033300,1.08534E+11,986394
18/1/23 0:00,594003,1118225,1.59276E+24,33560576341,1.08423E+11,1090585
19/1/23 0:00,506577,1007125,1.32882E+24,24745685461,1.08403E+11,976555
20/1/23 0:00,528575,1024504,1.37474E+24,25720620233,1.08679E+11,1000571
21/1/23 0:00,508960,994076,1.07207E+24,21072475142,1.08546E+11,969223
22/1/23 0:00,453143,889814,7.23681E+23,19312151668,1.08892E+11,866551
23/1/23 0:00,470894,947725,1.19157E+24,23115320837,1.08833E+11,921724
24/1/23 0:00,502911,1032293,1.37432E+24,30754508640,1.0863E+11,989181
25/1/23 0:00,501528,1020705,1.69793E+24,25825941797,1.08543E+11,988687
26/1/23 0:00,525257,1048864,9.34196E+23,26205253084,1.08499E+11,1020782
27/1/23 0:00,590303,1100192,1.15993E+24,25377717914,1.08403E+11,1064952
28/1/23 0:00,483142,964429,8.07828E+23,18813456271,1.08897E+11,940759
29/1/23 0:00,492452,998228,8.0308E+23,23135740585,1.08678E+11,968105
30/1/23 0:00,552343,1074566,1.60775E+24,21825804088,1.0852E+11,1048771
31/1/23 0:00,557467,1086364,1.16681E+24,30245226857,1.08507E+11,1053845
1/2/23 0:00,543983,1064236,1.24379E+24,30951074759,1.08362E+11,1032133
2/2/23 0:00,565227,1104114,1.59059E+24,32389670787,1.08031E+11,1074721
3/2/23 0:00,526222,1072608,1.36744E+24,33686520435,1.08162E+11,1040613
4/2/23 0:00,548836,1064597,9.16576E+23,26322246409,1.08299E+11,1033600
5/2/23 0:00,563420,1069625,7.90605E+23,23794846802,1.0847E+11,1044808
6/2/23 0:00,545878,1077149,1.02258E+24,28478691953,1.08518E+11,1048345
7/2/23 0:00,565234,1142836,1.25075E+24,36817069793,1.08091E+11,1111411
8/2/23 0:00,558774,1121215,1.44337E+24,38656256230,1.07868E+11,1088894
9/2/23 0:00,529182,1082467,1.50837E+24,40353819491,1.08245E+11,1043644
10/2/23 0:00,542788,1071635,2.32447E+24,29368859389,1.08391E+11,1037656
11/2/23 0:00,493015,961493,8.92107E+23,21415378130,1.08515E+11,930107
12/2/23 0:00,489733,953020,6.06974E+23,21067638895,1.08569E+11,928275
13/2/23 0:00,540177,1054742,1.66684E+24,29595631552,1.08349E+11,1024251
14/2/23 0:00,602176,1141796,1.47454E+24,64056071186,1.08359E+11,1112166
15/2/23 0:00,579897,1160879,1.62256E+24,42442291537,1.07997E+11,1130106
16/2/23 0:00,570292,1138195,1.70557E+24,44451859861,1.0812E+11,1105027
17/2/23 0:00,538418,1066755,1.01405E+24,40142664080,1.07246E+11,1036087
18/2/23 0:00,497818,972865,8.07617E+23,30627715818,1.07573E+11,941335
19/2/23 0:00,489539,1002399,7.7837E+23,29673223535,1.07713E+11,968353
20/2/23 0:00,532863,1059640,1.1399E+24,37171212039,1.079E+11,1019340
21/2/23 0:00,563018,1084290,1.24438E+24,37349599727,1.07663E+11,1054304
22/2/23 0:00,565972,1080839,1.47089E+24,40866932589,1.07474E+11,1052724
23/2/23 0:00,611621,1093537,1.15292E+24,42639674435,1.07654E+11,1064391
24/2/23 0:00,625261,1095771,1.26408E+24,34956299586,1.0728E+11,1073851
25/2/23 0:00,572021,995229,7.81302E+23,24663365746,1.0783E+11,975533
26/2/23 0:00,572702,982721,8.46653E+23,24307982693,1.08008E+11,962228
27/2/23 0:00,565588,1034112,1.52377E+24,27327787901,1.08032E+11,1010967
28/2/23 0:00,534392,1044634,1.12016E+24,29019407899,1.07547E+11,1016742
1/3/23 0:00,561026,1081357,1.17645E+24,35831060580,1.07745E+11,1052609
2/3/23 0:00,580867,1088950,1.08045E+24,33605840367,1.07402E+11,1060869
3/3/23 0:00,566532,1092189,1.4338E+24,34761706713,1.07393E+11,1061611
4/3/23 0:00,490052,971157,6.81821E+23,27052351676,1.07603E+11,940041
5/3/23 0:00,472163,940858,5.69523E+23,29307339847,1.07763E+11,906013
6/3/23 0:00,520570,1037182,1.23855E+24,37983458797,1.07549E+11,998939
7/3/23 0:00,518174,1035152,1.05178E+24,37755589297,1.07562E+11,1001824
8/3/23 0:00,509344,1011772,1.26633E+24,37320061309,1.07454E+11,978537
9/3/23 0:00,544512,1037747,1.48396E+24,40550234117,1.07465E+11,1011766
10/3/23 0:00,544552,1065950,2.09376E+24,36919533821,1.07093E+11,1036488
11/3/23 0:00,503380,1031282,4.43692E+24,1.01E+11,1.07407E+11,996039
12/3/23 0:00,504170,974883,2.00339E+24,30904991179,1.07588E+11,945068
13/3/23 0:00,666654,1173725,2.74929E+24,39889905007,1.07624E+11,1145153
14/3/23 0:00,594678,1105574,2.6045E+24,36151597518,1.07692E+11,1077325
15/3/23 0:00,578080,1076742,2.26095E+24,32866777696,1.07371E+11,1045775
16/3/23 0:00,536858,1042763,1.36226E+24,29146213974,1.07719E+11,1015437
17/3/23 0:00,584090,1068367,1.79289E+24,28876682813,1.07604E+11,1039370
18/3/23 0:00,553340,1023641,1.62086E+24,21372877183,1.07734E+11,998778
19/3/23 0:00,522317,992358,9.57601E+23,22355362291,1.07817E+11,960934
20/3/23 0:00,622272,1123422,1.63914E+24,24985753846,1.07869E+11,1094274
21/3/23 0:00,593795,1081542,1.38391E+24,22839471496,1.07635E+11,1055304
22/3/23 0:00,592055,1073049,2.6336E+24,23669198288,1.07701E+11,1048571
23/3/23 0:00,610164,1077305,1.73668E+24,27097769260,1.07438E+11,1054724
24/3/23 0:00,598510,1084231,1.65121E+24,26619909041,1.07616E+11,1059282
25/3/23 0:00,579438,1052415,8.86054E+23,20362203950,1.07673E+11,1029583
26/3/23 0:00,542576,1011463,6.86175E+23,22162968519,1.07664E+11,984818
27/3/23 0:00,589402,1100122,1.47378E+24,32606040326,1.07547E+11,1073245
28/3/23 0:00,641374,1149677,1.31352E+24,33296747287,1.07485E+11,1114886
29/3/23 0:00,649541,1165012,1.3394E+24,34602893435,1.07463E+11,1133679
30/3/23 0:00,666269,1187924,1.09085E+24,37400759221,1.07533E+11,1152454
31/3/23 0:00,652580,1150727,1.78124E+24,31440721408,1.077E+11,1117540
1/4/23 0:00,560096,1020143,7.81642E+23,24741287947,1.07529E+11,992714
2/4/23 0:00,527810,981226,6.45276E+23,23677899834,1.07626E+11,955734
3/4/23 0:00,557783,1052294,1.56186E+24,33288679532,1.07038E+11,1022028
4/4/23 0:00,584045,1068725,1.43826E+24,34822024601,1.06177E+11,1039575
5/4/23 0:00,620507,1123693,1.93207E+24,38414399966,1.06356E+11,1089339
6/4/23 0:00,565341,1036898,1.1886E+24,33043798323,1.05777E+11,1011567
7/4/23 0:00,593518,1043552,7.32041E+23,27937185695,1.0686E+11,1016287
8/4/23 0:00,508110,924776,6.17081E+23,25168323209,1.07121E+11,900994
9/4/23 0:00,496127,956899,5.7065E+23,24095099019,1.06894E+11,935755
10/4/23 0:00,571397,1016480,1.03323E+24,28423542045,1.07033E+11,993316
11/4/23 0:00,615438,1084502,1.14277E+24,33681093302,1.06784E+11,1049664
12/4/23 0:00,574899,1021632,1.77453E+24,26818315709,1.06138E+11,1000210
13/4/23 0:00,662974,1094764,1.74799E+24,35563190355,98436638731,1072705
14/4/23 0:00,692435,1166392,2.07505E+24,33953044053,1.05789E+11,1136737
15/4/23 0:00,656568,1056292,8.17323E+23,27096530499,1.06458E+11,1038171
16/4/23 0:00,487167,854249,9.60145E+23,30469108368,1.0723E+11,832839
17/4/23 0:00,511071,1011979,1.33551E+24,39511637138,1.06808E+11,972988
18/4/23 0:00,518677,1070108,1.40668E+24,60817366363,1.06664E+11,1022649
19/4/23 0:00,500701,1085066,2.2837E+24,81943647577,1.06843E+11,1031788
20/4/23 0:00,513519,1073576,1.99157E+24,76593655942,1.05986E+11,1023880
21/4/23 0:00,525332,1009840,2.04885E+24,46365409545,1.07249E+11,976997
22/4/23 0:00,433235,862010,8.81084E+23,43833129395,1.08424E+11,827309
23/4/23 0:00,413617,867666,8.67438E+23,48450624042,1.08086E+11,828597
24/4/23 0:00,461427,940804,1.23822E+24,51481567850,1.08015E+11,901354
25/4/23 0:00,503158,976311,1.41622E+24,44423858600,1.07873E+11,939847
26/4/23 0:00,505531,978121,1.71264E+24,46885746251,1.07928E+11,944038
27/4/23 0:00,500264,939262,1.63039E+24,43417185595,1.07876E+11,905988
28/4/23 0:00,513094,987649,1.19415E+24,43633561010,1.07818E+11,949403
29/4/23 0:00,464347,887098,6.75304E+23,41252060084,1.08088E+11,852221
30/4/23 0:00,469985,974972,7.81624E+23,50580093244,1.07706E+11,929096
1/5/23 0:00,498013,1102060,2.5422E+24,77126318174,1.07197E+11,1046112
2/5/23 0:00,512091,1127805,1.36967E+24,95049603008,1.07241E+11,1070649
3/5/23 0:00,533584,1117146,1.22064E+24,83762267764,1.07087E+11,1066286
4/5/23 0:00,527338,1110210,1.47016E+24,86486115375,1.0753E+11,1056698
5/5/23 0:00,593148,1208548,1.77544E+24,1.56E+11,1.07417E+11,1152227
6/5/23 0:00,515111,1145565,1.88538E+24,1.51E+11,1.07047E+11,1081601
7/5/23 0:00,486745,1101487,9.41683E+23,1.25E+11,1.07253E+11,1035737
8/5/23 0:00,545164,1145960,1.68132E+24,1.22E+11,1.07204E+11,1092421
9/5/23 0:00,547830,1126707,1.47934E+24,1.03E+11,1.07266E+11,1076853
10/5/23 0:00,512678,1086375,2.15382E+24,1.08E+11,1.07188E+11,1036143
11/5/23 0:00,503645,1099638,1.72282E+24,1.13E+11,1.06161E+11,1045631
12/5/23 0:00,541150,1070884,1.9224E+24,77852992618,1.0437E+11,1028434
13/5/23 0:00,533449,994500,7.51219E+23,49682615247,1.07025E+11,959956
14/5/23 0:00,534176,992354,6.41802E+23,48384396065,1.0668E+11,955751
15/5/23 0:00,553998,1091921,1.33583E+24,68043747934,1.06933E+11,1046345
16/5/23 0:00,533101,1072600,1.24024E+24,64374908775,1.06956E+11,1033266
17/5/23 0:00,531099,1043585,1.2239E+24,60505535694,1.06832E+11,1006286
18/5/23 0:00,509467,1054402,1.09285E+24,61428068427,1.073E+11,1012446
19/5/23 0:00,541852,1073998,1.12619E+24,53950566897,1.06913E+11,1031967
20/5/23 0:00,597632,1049772,7.3116E+23,38588308207,1.07537E+11,1020474
21/5/23 0:00,545819,1014742,8.10433E+23,40754757081,1.07273E+11,982153
22/5/23 0:00,520129,1075234,1.07183E+24,54738006490,1.07282E+11,1031265
23/5/23 0:00,534816,1113165,1.46032E+24,61474276313,1.06998E+11,1068785
24/5/23 0:00,523589,1054823,1.27952E+24,51263205411,1.07274E+11,1017629
25/5/23 0:00,542165,1062757,1.0153E+24,47963979652,1.07274E+11,1017236
