Date,Number of transactions
1/9/23 0:00,1006635
2/9/23 0:00,1024172
3/9/23 0:00,1038128
4/9/23 0:00,952440
5/9/23 0:00,994049
6/9/23 0:00,1058940
7/9/23 0:00,1017089
8/9/23 0:00,1014297
9/9/23 0:00,929400
10/9/23 0:00,866548
11/9/23 0:00,1021616
12/9/23 0:00,1092958
13/9/23 0:00,1627860
14/9/23 0:00,1071590
15/9/23 0:00,1002709
16/9/23 0:00,922374
17/9/23 0:00,879624
18/9/23 0:00,979571
19/9/23 0:00,1002911
20/9/23 0:00,1012663
21/9/23 0:00,1131119
22/9/23 0:00,974991
23/9/23 0:00,863503
24/9/23 0:00,883746
25/9/23 0:00,990751
26/9/23 0:00,1041222
27/9/23 0:00,1056862
28/9/23 0:00,1030538
29/9/23 0:00,1024678
30/9/23 0:00,977771
1/10/23 0:00,922694
2/10/23 0:00,1016845
3/10/23 0:00,1002455
4/10/23 0:00,983598
5/10/23 0:00,955796
6/10/23 0:00,993544
7/10/23 0:00,996807
8/10/23 0:00,924403
9/10/23 0:00,993579
10/10/23 0:00,1005950
11/10/23 0:00,1005828
12/10/23 0:00,1004069
13/10/23 0:00,1007291
14/10/23 0:00,898577
15/10/23 0:00,921231
16/10/23 0:00,1027904
17/10/23 0:00,1002389
18/10/23 0:00,1010682
19/10/23 0:00,997931
20/10/23 0:00,1087921
21/10/23 0:00,987400
22/10/23 0:00,980622
23/10/23 0:00,1063574
24/10/23 0:00,1098323
25/10/23 0:00,1081158
26/10/23 0:00,1091779
27/10/23 0:00,1034649
28/10/23 0:00,991315
29/10/23 0:00,1071556
30/10/23 0:00,1094713
31/10/23 0:00,1089606
1/11/23 0:00,1101380
2/11/23 0:00,1045341
3/11/23 0:00,1104674
4/11/23 0:00,1013882
5/11/23 0:00,1034459
6/11/23 0:00,1101645
7/11/23 0:00,1055975
8/11/23 0:00,1066274
9/11/23 0:00,1125199
10/11/23 0:00,1146191
11/11/23 0:00,1107685
12/11/23 0:00,1061494
13/11/23 0:00,1088278
14/11/23 0:00,1050000
15/11/23 0:00,1075386
16/11/23 0:00,1093005
17/11/23 0:00,1084679
18/11/23 0:00,1134614
19/11/23 0:00,983460
20/11/23 0:00,1151945
21/11/23 0:00,1129495
22/11/23 0:00,1142003
23/11/23 0:00,1123339
24/11/23 0:00,1068410
25/11/23 0:00,985612
26/11/23 0:00,989613
27/11/23 0:00,1077314
28/11/23 0:00,1155016
29/11/23 0:00,1151825
30/11/23 0:00,1119717
1/12/23 0:00,1119260
2/12/23 0:00,1210135
3/12/23 0:00,1030989
4/12/23 0:00,1158630
5/12/23 0:00,1197166
6/12/23 0:00,1126986
7/12/23 0:00,1159526
8/12/23 0:00,1182465
9/12/23 0:00,1120555
10/12/23 0:00,1129096
11/12/23 0:00,1087662
12/12/23 0:00,1076667
13/12/23 0:00,1081514
14/12/23 0:00,1157276
15/12/23 0:00,1162222
16/12/23 0:00,1056961
17/12/23 0:00,1081782
18/12/23 0:00,1137970
19/12/23 0:00,1153138
20/12/23 0:00,1246531
21/12/23 0:00,1242003
22/12/23 0:00,1205712
23/12/23 0:00,1121929
24/12/23 0:00,1140411
25/12/23 0:00,1102694
26/12/23 0:00,1116447
27/12/23 0:00,1137685
28/12/23 0:00,1185508
29/12/23 0:00,1110469
30/12/23 0:00,1090893
31/12/23 0:00,1061956
1/1/24 0:00,1101465
2/1/24 0:00,1128657
3/1/24 0:00,1092220
4/1/24 0:00,1116573
5/1/24 0:00,1069252
6/1/24 0:00,994947
7/1/24 0:00,1049831
8/1/24 0:00,1073535
9/1/24 0:00,1078832
10/1/24 0:00,1247106
11/1/24 0:00,1209246
12/1/24 0:00,1209875
13/1/24 0:00,1212202
14/1/24 0:00,1961144
15/1/24 0:00,1154132
16/1/24 0:00,1269778
17/1/24 0:00,1181029
18/1/24 0:00,1204406
19/1/24 0:00,1173934
20/1/24 0:00,1062400
21/1/24 0:00,1119258
22/1/24 0:00,1076456
23/1/24 0:00,1083406
24/1/24 0:00,1080129
25/1/24 0:00,1173661
26/1/24 0:00,1172353
27/1/24 0:00,1147736
28/1/24 0:00,1128110
29/1/24 0:00,1115710
30/1/24 0:00,1190513
31/1/24 0:00,1137621
