day,total_transactions,successful_transactions
2023-01-01 00:00:00.000 UTC,28348602,18474562
2023-01-02 00:00:00.000 UTC,36298341,20401218
2023-01-03 00:00:00.000 UTC,46227421,22355723
2023-01-04 00:00:00.000 UTC,41524698,19935250
2023-01-05 00:00:00.000 UTC,36452122,17830731
2023-01-06 00:00:00.000 UTC,42341415,17866061
2023-01-07 00:00:00.000 UTC,45627577,17023771
2023-01-08 00:00:00.000 UTC,41414378,16530322
2023-01-09 00:00:00.000 UTC,40543126,17605309
2023-01-10 00:00:00.000 UTC,41453579,17072799
2023-01-11 00:00:00.000 UTC,40685260,16969421
2023-01-12 00:00:00.000 UTC,38922188,17051376
2023-01-13 00:00:00.000 UTC,39326578,18446408
2023-01-14 00:00:00.000 UTC,37637105,16126554
2023-01-15 00:00:00.000 UTC,38333973,15488995
2023-01-16 00:00:00.000 UTC,38717670,16590415
2023-01-17 00:00:00.000 UTC,37885943,17126174
2023-01-18 00:00:00.000 UTC,40743982,17248840
2023-01-19 00:00:00.000 UTC,40595647,17402712
2023-01-20 00:00:00.000 UTC,40759508,18867173
2023-01-21 00:00:00.000 UTC,38862629,16446425
2023-01-22 00:00:00.000 UTC,37013792,16265204
2023-01-23 00:00:00.000 UTC,39299540,17427367
2023-01-24 00:00:00.000 UTC,38068553,19010609
2023-01-25 00:00:00.000 UTC,38491181,19314131
2023-01-26 00:00:00.000 UTC,36330606,17481083
2023-01-27 00:00:00.000 UTC,38188604,18345708
2023-01-28 00:00:00.000 UTC,36100228,17393498
2023-01-29 00:00:00.000 UTC,37223819,16752157
2023-01-30 00:00:00.000 UTC,40154829,18643615
2023-01-31 00:00:00.000 UTC,43605354,18056953
2023-02-01 00:00:00.000 UTC,38261789,16621908
2023-02-02 00:00:00.000 UTC,39146215,16966905
2023-02-03 00:00:00.000 UTC,41876982,20217866
2023-02-04 00:00:00.000 UTC,35718791,18175247
2023-02-05 00:00:00.000 UTC,33446371,16538628
2023-02-06 00:00:00.000 UTC,35134003,18938112
2023-02-07 00:00:00.000 UTC,29926969,16903643
2023-02-08 00:00:00.000 UTC,35268617,19445691
2023-02-09 00:00:00.000 UTC,39177957,19432942
2023-02-10 00:00:00.000 UTC,38404164,19275697
2023-02-11 00:00:00.000 UTC,31669406,16228985
2023-02-12 00:00:00.000 UTC,35741441,17699692
2023-02-13 00:00:00.000 UTC,34543863,18357913
2023-02-14 00:00:00.000 UTC,35386265,18255138
2023-02-15 00:00:00.000 UTC,37188376,18453646
2023-02-16 00:00:00.000 UTC,42132131,19365841
2023-02-17 00:00:00.000 UTC,39576759,17878400
2023-02-18 00:00:00.000 UTC,34704807,17212145
2023-02-19 00:00:00.000 UTC,37402230,17077063
2023-02-20 00:00:00.000 UTC,37668999,18919745
2023-02-21 00:00:00.000 UTC,35694019,18353155
2023-02-22 00:00:00.000 UTC,39769557,18837780
2023-02-23 00:00:00.000 UTC,36722520,17687877
2023-02-24 00:00:00.000 UTC,38615130,18363590
2023-02-25 00:00:00.000 UTC,8531614,3942444
2023-02-26 00:00:00.000 UTC,27516628,15022221
