day,unique_contracts,total_transactions,total_value_transferred,unique_addresses
2024-01-01,1,3657,2446844215358287131889560,2320
2024-01-02,1,4473,2446478883691702684434502,2628
2024-01-03,1,9085,9445329580139403332486390,3759
2024-01-04,1,5157,3720900427051401834703264,2740
2024-01-05,1,4950,3204523837399850759415855,2666
2024-01-06,1,4494,3064694507126764314367239,2595
2024-01-07,1,3861,2575536276808721096845216,2576
2024-01-08,1,6968,8477481693032567629143076,2956
2024-01-09,1,5519,6830787345939514707683539,2866
2024-01-10,1,6503,6485554022289910853731098,3299
2024-01-11,1,6420,6862065796660769757487601,3469
2024-01-12,1,5271,4575457206898654857642796,3081
2024-01-13,1,4521,4517591126781256908132371,3046
2024-01-14,1,4543,2423963366016415380749112,2921
2024-01-15,1,4740,6912561418450089880527112,2884
2024-01-16,1,3840,3572682214173536842197005,2516
2024-01-17,1,3768,6778381751903385027713154,2637
2024-01-18,1,4189,6822335538138018156660285,2789
2024-01-19,1,4623,3327226808697009156982201,3020
2024-01-20,1,3370,1748359758985943409573862,2237
2024-01-21,1,2694,2899666611240399400443475,2056
2024-01-22,1,3919,6910738270394841610996889,2636
2024-01-23,1,4165,5226910400534038940121900,2570
2024-01-24,1,3343,1631898389010372939180831,2144
2024-01-25,1,3927,6379021179544624448128390,2250
2024-01-26,1,3360,2050927623281698148367968,2165
2024-01-27,1,2365,1590114651631712229933963,1717
2024-01-28,1,2498,1456956881066917062849107,1772
2024-01-29,1,2981,3401961153562495266412479,1900
2024-01-30,1,3851,3288928043013670737728058,2446
2024-01-31,1,4545,4082494262631631359532233,2919
2024-02-01,1,3418,2570151203055467342859911,2317
2024-02-02,1,2913,3106720619808487502791751,2014
2024-02-03,1,3733,2064833036585762874403885,2258
2024-02-04,1,2398,2568935790705479287912473,1730
2024-02-05,1,2775,2937108016143211244624529,1828
2024-02-06,1,2878,3704381844968566220704311,2066
2024-02-07,1,2788,2633842726651470789055452,2063
2024-02-08,1,2942,4719946060714566030723156,1996
2024-02-09,1,3204,4051665635067249386707832,2138
2024-02-10,1,2256,2042755736725478707483019,1758
2024-02-11,1,2875,3518800609281501930177602,1874
2024-02-12,1,3266,4781467335723497714097385,2260
2024-02-13,1,2909,2575146230736517519815309,1969
2024-02-14,1,3412,5218245814836678269643222,2372
2024-02-15,1,6626,10671246100733136560825480,3162
2024-02-16,1,4763,4472519157648557692171220,2649
2024-02-17,1,2847,1792619769807714707496473,2074
2024-02-18,1,3095,3266836076318197493405858,2020
2024-02-19,1,3469,3882677517374955862245701,2366
2024-02-20,1,4429,7307710913238273370300917,2375
2024-02-21,1,4166,7626829342777439724333958,2292
2024-02-22,1,3902,6144586602076305466729419,2242
2024-02-23,1,3631,3691002397339314671407481,2240
2024-02-24,1,2917,7069551121630186241772994,2071
2024-02-25,1,2994,3385755273225335025910854,2049
2024-02-26,1,4537,12919802186127549102014560,2396
2024-02-27,1,6772,7102109919736456517648355,3326
2024-02-28,1,7721,11833563828680619436170116,3775
2024-02-29,1,8691,12691998701920783751751482,3768
2024-03-01,1,5063,4877542187107777474731513,3304
2024-03-02,1,8748,12265938334406628239772456,4250
2024-03-03,1,6337,5110112112032657920891872,3754
2024-03-04,1,9507,10331106137132694422459814,4735
2024-03-05,1,11779,14318587576559642549847177,4927
2024-03-06,1,7433,12719967131133894084120292,3903
2024-03-07,1,8118,9564804147814575329058696,3706
2024-03-08,1,7523,21774460715122884931361403,4144
2024-03-09,1,5838,23868838423670130951031655,3709
2024-03-10,1,7787,21955718827219186932145137,4215
2024-03-11,1,15873,19275442516053589620199057,5612
2024-03-12,1,10473,13423614631097248043112475,4641
2024-03-13,1,8427,15534798005656972030918604,4666
2024-03-14,1,8506,8737938791748089335541278,4441
2024-03-15,1,8675,12615744626868110675321141,4233
2024-03-16,1,6502,8847409066625083429639666,3450
2024-03-17,1,5491,6216555906047852316071729,3353
2024-03-18,1,7256,12372556868340139117834215,3229
2024-03-19,1,10185,6616390594226366489741069,3713
2024-03-20,1,7340,7380687344371624562883186,3456
2024-03-21,1,8129,7792399244908477172966421,3206
2024-03-22,1,6276,5710180654617634810147818,2874
2024-03-23,1,4336,3707403245620604417619066,2545
2024-03-24,1,4308,3547976555841792689398536,2509
2024-03-25,1,7266,10414773507134521291830050,3937
2024-03-26,1,5998,6037227188072304204341965,3577
2024-03-27,1,5590,4678295427819125660671369,3225
2024-03-28,1,6267,10245485887326809745826670,3309
2024-03-29,1,6585,8629556676716410623219872,3476
2024-03-30,1,4564,4615103183318192884490926,2879
2024-03-31,1,3779,3035088988840644799726400,2507
2024-04-01,1,4762,6014542204756475164847572,2829
2024-04-02,1,5579,9206333037623999840687906,3021
2024-04-03,1,4513,4320010797704477689665187,2745
2024-04-04,1,6152,14046034068276895654614466,2865
2024-04-05,1,5112,11989406717393586494741919,2846
2024-04-06,1,4319,3135519169526558452300732,2752
2024-04-07,1,3820,7235354469376347110448502,2472
2024-04-08,1,6195,25022291854208272429704663,3013
2024-04-09,1,7833,15175167953227735810802328,3325
2024-04-10,1,5889,27057147898955870967221217,2749
2024-04-11,1,5046,5395711645904620114761887,2680
2024-04-12,1,8586,20467981828214497212404552,3440
2024-04-13,1,11254,20788426435221028848372238,3810
2024-04-14,1,9142,15289768505878692632067861,3358
2024-04-15,1,7091,5482868352147291780236581,3273
2024-04-16,1,5847,4627341745491434739598363,3002
2024-04-17,1,6097,8025618895648840618420629,2861
2024-04-18,1,5077,2717899903471747094553109,2648
2024-04-19,1,6236,3762044686336615215234332,2809
2024-04-20,1,5629,4995718504532007388898529,2468
2024-04-21,1,5176,5111554428943226521029512,2285
2024-04-22,1,8742,5282161322921585209971789,2650
2024-04-23,1,6675,7148331350779538402596255,2837
2024-04-24,1,6853,8425290310947142509773846,2709
2024-04-25,1,5641,3149150243105437540196241,2717
2024-04-26,1,5408,3006111772803353387738894,2448
2024-04-27,1,4304,5902869285309795404271696,2299
2024-04-28,1,4206,4449482243285509053435731,2139
2024-04-29,1,5692,2874813761480913118740426,2389
2024-04-30,1,6872,35851016496294086565002417,2701
2024-05-01,1,7976,5275998968961378393863289,2566
2024-05-02,1,4987,3620906205114205181309810,2302
2024-05-03,1,4593,2966931549184892555635690,2274
2024-05-04,1,3566,2396880180364014036166550,2111
2024-05-05,1,3403,1671899456288185253288644,2176
2024-05-06,1,9284,6267858668929300120289890,2615
2024-05-07,1,5390,5505233756268415685567821,2533
2024-05-08,1,5469,3026218391031309158849859,2285
2024-05-09,1,4569,3270425526375173642921291,2214
2024-05-10,1,3977,2285180706223627896602624,2211
2024-05-11,1,4466,7516880330946204799766858,2050
2024-05-12,1,3389,2455975208381078018234847,1991
2024-05-13,1,4720,4356188954399126978364833,2532
2024-05-14,1,5519,4505382678305105484096337,2533
2024-05-15,1,4310,3200982744983443380672728,2631
2024-05-16,1,4950,5703689101851182998657451,2772
2024-05-17,1,5207,5605836204763729830403289,2786
2024-05-18,1,3610,4968603610546803997859339,2371
2024-05-19,1,4333,3824723365064232392883003,2519
2024-05-20,1,5715,8402991202647408989749106,2617
2024-05-21,1,7908,8992363611224856680133881,2986
2024-05-22,1,5255,10169679930029209500364214,2521
2024-05-23,1,7698,8409249540195764371807732,2669
2024-05-24,1,5470,5314081175144101526929727,2548
2024-05-25,1,4183,1913961382251791913702045,2316
2024-05-26,1,4013,2351439398354484129372095,2014
